batch,tongue,location,tongue_weight,tongue_temperature,cold_injury,avulsion_injury,poor_quality,method,file,start_time,end_time,contact_time,application_time,detachment_force,metal_temp,avg_temperature,avg_humidity,avg_pressure
2,2,BASIS,184,35.0,True,True,False,Jerk,12.03.25 13-27-44.csv,2025-03-12T13:26:00Z,2025-03-12T13:28:59Z,5.010992,4.6550069999999995,27.823944683202935,-21.9983958582956,23.3096610169492,14.5494915254237,995.80593220339
2,3,APEX,159,37.0,True,True,True,Motor,12.03.25 13-30-28.csv,2025-03-12T13:29:00Z,2025-03-12T13:30:59Z,6.5902140000000005,1.6359999999999997,5.8502786841143095,-14.3199416049741,23.3297435897436,14.5825641025641,995.777435897436
2,3,BASIS,159,35.0,True,False,False,Motor,12.03.25 13-45-44.csv,2025-03-12T13:44:00Z,2025-03-12T13:46:59Z,6.679213,4.028,9.452398884528968,-19.9624264327108,23.7546551724138,14.6846551724138,995.699482758621
2,4,APEX,173,34.0,False,True,False,Motor,12.03.25 13-32-57.csv,2025-03-12T13:31:00Z,2025-03-12T13:33:59Z,7.147214000000001,5.79907,3.114719106165,-8.47803858617307,23.308275862069,14.5248275862069,995.736551724138
2,4,BASIS,173,36.0,True,True,False,Motor,12.03.25 13-47-31.csv,2025-03-12T13:46:00Z,2025-03-12T13:47:59Z,6.911213999999999,3.2679850000000004,15.659016341157411,-16.7721884911596,23.7823076923077,14.5858974358974,995.694871794872
2,5,APEX,173,36.0,True,False,False,Jerk,12.03.25 13-36-38.csv,2025-03-12T13:35:00Z,2025-03-12T13:37:59Z,4.152,3.176017,1.5861472036234459,-40.606847349506,23.4664406779661,14.6827118644068,995.74
2,5,BASIS,173,37.0,False,True,False,Jerk,12.03.25 13-50-48.csv,2025-03-12T13:50:00Z,2025-03-12T13:51:59Z,2.368015,1.576,16.645124225141892,-11.4957955093641,23.839756097561,14.4478048780488,995.653170731707
2,6,APEX,209,36.0,True,True,True,Jerk,12.03.25 13-52-22.csv,2025-03-12T13:51:00Z,2025-03-12T13:52:59Z,2.9299999999999997,2.0749930000000005,1.8997755709713784,-9.22639735015263,23.8466666666667,14.4964102564103,995.650256410256
2,6,BASIS,209,37.0,True,True,False,Jerk,12.03.25 13-38-38.csv,2025-03-12T13:37:00Z,2025-03-12T13:39:59Z,5.327,4.415992000000001,7.450453324728622,-35.3609686169823,23.5803448275862,14.8153448275862,995.731206896552
3,1,APEX,184,34.0,True,False,False,Jerk,12.03.25 14-22-44.csv,2025-03-12T14:21:00Z,2025-03-12T14:23:59Z,8.183214,4.1079989999999995,15.792381674936205,-39.0686310867307,23.8537288135593,14.686779661017,995.524237288136
3,1,BASIS,184,32.0,True,False,False,Motor,12.03.25 14-38-26.csv,2025-03-12T14:37:00Z,2025-03-12T14:38:59Z,0.012,0.0,0.017586637421381678,-24.0976948897329,24.0084615384615,14.1771794871795,995.468461538462
3,2,APEX,214,34.0,True,False,True,Motor,12.03.25 14-24-46.csv,2025-03-12T14:23:00Z,2025-03-12T14:25:59Z,9.107214,6.648,6.559815758174483,-31.5561276466232,23.8848333333333,14.2076666666667,995.506
3,2,BASIS,214,38.0,True,True,False,Jerk,12.03.25 14-42-25.csv,2025-03-12T14:41:00Z,2025-03-12T14:42:59Z,5.087,4.467,26.62449413811862,-13.2940492707361,24.0370731707317,13.9746341463415,995.455365853659
